trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-48
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-49
3,snack3,"[3,9]",naive,-41
3,snack3,"[3,9]",sophisticated,-34
4,snack7,"[3,4]",naive,-48
4,snack7,"[3,4]",sophisticated,-36
5,snack8,"[10,3]",naive,-26
5,snack8,"[10,3]",sophisticated,2
6,snack8,"[10,2]",naive,-33
6,snack8,"[10,2]",sophisticated,3
7,snack1,"[4,9]",naive,-33
7,snack1,"[4,9]",sophisticated,-26
8,snack8,"[8,5]",naive,-12
8,snack8,"[8,5]",sophisticated,-2
9,snack10,"[5,3]",naive,-48
9,snack10,"[5,3]",sophisticated,-39
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,27
11,snack2,"[13,4]",naive,50
11,snack2,"[13,4]",sophisticated,18
12,snack5,"[10,4]",naive,23
12,snack5,"[10,4]",sophisticated,3
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,37
14,snack9,"[8,10]",sophisticated,37
15,snack10,"[6,11]",naive,46
15,snack10,"[6,11]",sophisticated,42
16,snack3,"[10,9]",naive,25
16,snack3,"[10,9]",sophisticated,16
17,snack3,"[11,9]",naive,39
17,snack3,"[11,9]",sophisticated,32
18,snack1,"[6,11]",naive,25
18,snack1,"[6,11]",sophisticated,5
19,snack2,"[5,4]",naive,-4
19,snack2,"[5,4]",sophisticated,-14
20,snack7,"[3,10]",naive,1
20,snack7,"[3,10]",sophisticated,-1
21,snack9,"[12,4]",naive,-14
21,snack9,"[12,4]",sophisticated,-8
22,snack5,"[8,4]",naive,-3
22,snack5,"[8,4]",sophisticated,-4
23,snack5,"[8,5]",naive,6
23,snack5,"[8,5]",sophisticated,4
24,snack6,"[7,10]",naive,2
24,snack6,"[7,10]",sophisticated,0
25,snack9,"[8,5]",naive,-21
25,snack9,"[8,5]",sophisticated,-16
26,snack6,"[8,13]",naive,-5
26,snack6,"[8,13]",sophisticated,-6
27,snack6,"[7,9]",naive,6
27,snack6,"[7,9]",sophisticated,-2
