trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-49
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-47
3,snack3,"[3,9]",naive,-35
3,snack3,"[3,9]",sophisticated,-32
4,snack7,"[3,4]",naive,-47
4,snack7,"[3,4]",sophisticated,-42
5,snack8,"[10,3]",naive,-23
5,snack8,"[10,3]",sophisticated,-3
6,snack8,"[10,2]",naive,-30
6,snack8,"[10,2]",sophisticated,0
7,snack1,"[4,9]",naive,-27
7,snack1,"[4,9]",sophisticated,-24
8,snack8,"[8,5]",naive,-9
8,snack8,"[8,5]",sophisticated,-2
9,snack10,"[5,3]",naive,-46
9,snack10,"[5,3]",sophisticated,-42
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,45
11,snack2,"[13,4]",naive,48
11,snack2,"[13,4]",sophisticated,35
12,snack5,"[10,4]",naive,18
12,snack5,"[10,4]",sophisticated,6
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,37
14,snack9,"[8,10]",sophisticated,35
15,snack10,"[6,11]",naive,45
15,snack10,"[6,11]",sophisticated,42
16,snack3,"[10,9]",naive,22
16,snack3,"[10,9]",sophisticated,15
17,snack3,"[11,9]",naive,37
17,snack3,"[11,9]",sophisticated,31
18,snack1,"[6,11]",naive,-1
18,snack1,"[6,11]",sophisticated,-7
19,snack2,"[5,4]",naive,-9
19,snack2,"[5,4]",sophisticated,-13
20,snack7,"[3,10]",naive,-1
20,snack7,"[3,10]",sophisticated,-1
21,snack9,"[12,4]",naive,-13
21,snack9,"[12,4]",sophisticated,-11
22,snack5,"[8,4]",naive,-3
22,snack5,"[8,4]",sophisticated,-3
23,snack5,"[8,5]",naive,6
23,snack5,"[8,5]",sophisticated,3
24,snack6,"[7,10]",naive,-1
24,snack6,"[7,10]",sophisticated,-2
25,snack9,"[8,5]",naive,-19
25,snack9,"[8,5]",sophisticated,-18
26,snack6,"[8,13]",naive,-3
26,snack6,"[8,13]",sophisticated,-4
27,snack6,"[7,9]",naive,2
27,snack6,"[7,9]",sophisticated,-5
