trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-49
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-48
3,snack3,"[3,9]",naive,-33
3,snack3,"[3,9]",sophisticated,-31
4,snack7,"[3,4]",naive,-47
4,snack7,"[3,4]",sophisticated,-44
5,snack8,"[10,3]",naive,-21
5,snack8,"[10,3]",sophisticated,-8
6,snack8,"[10,2]",naive,-27
6,snack8,"[10,2]",sophisticated,-9
7,snack1,"[4,9]",naive,-24
7,snack1,"[4,9]",sophisticated,-22
8,snack8,"[8,5]",naive,-5
8,snack8,"[8,5]",sophisticated,-4
9,snack10,"[5,3]",naive,-46
9,snack10,"[5,3]",sophisticated,-42
10,snack2,"[13,3]",naive,49
10,snack2,"[13,3]",sophisticated,48
11,snack2,"[13,4]",naive,48
11,snack2,"[13,4]",sophisticated,41
12,snack5,"[10,4]",naive,18
12,snack5,"[10,4]",sophisticated,10
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,38
14,snack9,"[8,10]",sophisticated,36
15,snack10,"[6,11]",naive,45
15,snack10,"[6,11]",sophisticated,42
16,snack3,"[10,9]",naive,22
16,snack3,"[10,9]",sophisticated,18
17,snack3,"[11,9]",naive,37
17,snack3,"[11,9]",sophisticated,33
18,snack1,"[6,11]",naive,-8
18,snack1,"[6,11]",sophisticated,-10
19,snack2,"[5,4]",naive,-8
19,snack2,"[5,4]",sophisticated,-13
20,snack7,"[3,10]",naive,-2
20,snack7,"[3,10]",sophisticated,-2
21,snack9,"[12,4]",naive,-17
21,snack9,"[12,4]",sophisticated,-11
22,snack5,"[8,4]",naive,-4
22,snack5,"[8,4]",sophisticated,-3
23,snack5,"[8,5]",naive,5
23,snack5,"[8,5]",sophisticated,4
24,snack6,"[7,10]",naive,-2
24,snack6,"[7,10]",sophisticated,-1
25,snack9,"[8,5]",naive,-17
25,snack9,"[8,5]",sophisticated,-16
26,snack6,"[8,13]",naive,-2
26,snack6,"[8,13]",sophisticated,-2
27,snack6,"[7,9]",naive,0
27,snack6,"[7,9]",sophisticated,-2
