trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-50
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-50
3,snack3,"[3,9]",naive,-50
3,snack3,"[3,9]",sophisticated,-50
4,snack7,"[3,4]",naive,-50
4,snack7,"[3,4]",sophisticated,-50
5,snack8,"[10,3]",naive,-50
5,snack8,"[10,3]",sophisticated,-12
6,snack8,"[10,2]",naive,-50
6,snack8,"[10,2]",sophisticated,13
7,snack1,"[4,9]",naive,-48
7,snack1,"[4,9]",sophisticated,-45
8,snack8,"[8,5]",naive,-50
8,snack8,"[8,5]",sophisticated,-31
9,snack10,"[5,3]",naive,-50
9,snack10,"[5,3]",sophisticated,-49
10,snack2,"[13,3]",naive,0
10,snack2,"[13,3]",sophisticated,0
11,snack2,"[13,4]",naive,0
11,snack2,"[13,4]",sophisticated,0
12,snack5,"[10,4]",naive,49
12,snack5,"[10,4]",sophisticated,3
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,50
14,snack9,"[8,10]",sophisticated,48
15,snack10,"[6,11]",naive,50
15,snack10,"[6,11]",sophisticated,50
16,snack3,"[10,9]",naive,44
16,snack3,"[10,9]",sophisticated,27
17,snack3,"[11,9]",naive,49
17,snack3,"[11,9]",sophisticated,43
18,snack1,"[6,11]",naive,50
18,snack1,"[6,11]",sophisticated,50
19,snack2,"[5,4]",naive,5
19,snack2,"[5,4]",sophisticated,-14
20,snack7,"[3,10]",naive,17
20,snack7,"[3,10]",sophisticated,-1
21,snack9,"[12,4]",naive,13
21,snack9,"[12,4]",sophisticated,-45
22,snack5,"[8,4]",naive,-14
22,snack5,"[8,4]",sophisticated,4
23,snack5,"[8,5]",naive,-8
23,snack5,"[8,5]",sophisticated,0
24,snack6,"[7,10]",naive,-13
24,snack6,"[7,10]",sophisticated,-4
25,snack9,"[8,5]",naive,-22
25,snack9,"[8,5]",sophisticated,-6
26,snack6,"[8,13]",naive,-1
26,snack6,"[8,13]",sophisticated,-8
27,snack6,"[7,9]",naive,-19
27,snack6,"[7,9]",sophisticated,-16
