trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-38
2,snack7,"[6,3]",naive,-50
2,snack7,"[6,3]",sophisticated,-40
3,snack3,"[3,9]",naive,-44
3,snack3,"[3,9]",sophisticated,-26
4,snack7,"[3,4]",naive,-46
4,snack7,"[3,4]",sophisticated,34
5,snack8,"[10,3]",naive,-31
5,snack8,"[10,3]",sophisticated,41
6,snack8,"[10,2]",naive,-40
6,snack8,"[10,2]",sophisticated,47
7,snack1,"[4,9]",naive,-35
7,snack1,"[4,9]",sophisticated,-10
8,snack8,"[8,5]",naive,-17
8,snack8,"[8,5]",sophisticated,-2
9,snack10,"[5,3]",naive,-49
9,snack10,"[5,3]",sophisticated,-8
10,snack2,"[13,3]",naive,50
10,snack2,"[13,3]",sophisticated,-50
11,snack2,"[13,4]",naive,50
11,snack2,"[13,4]",sophisticated,-50
12,snack5,"[10,4]",naive,28
12,snack5,"[10,4]",sophisticated,-32
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,40
14,snack9,"[8,10]",sophisticated,29
15,snack10,"[6,11]",naive,48
15,snack10,"[6,11]",sophisticated,28
16,snack3,"[10,9]",naive,28
16,snack3,"[10,9]",sophisticated,1
17,snack3,"[11,9]",naive,42
17,snack3,"[11,9]",sophisticated,13
18,snack1,"[6,11]",naive,40
18,snack1,"[6,11]",sophisticated,-4
19,snack2,"[5,4]",naive,0
19,snack2,"[5,4]",sophisticated,-23
20,snack7,"[3,10]",naive,0
20,snack7,"[3,10]",sophisticated,-5
21,snack9,"[12,4]",naive,-13
21,snack9,"[12,4]",sophisticated,8
22,snack5,"[8,4]",naive,-1
22,snack5,"[8,4]",sophisticated,1
23,snack5,"[8,5]",naive,10
23,snack5,"[8,5]",sophisticated,-5
24,snack6,"[7,10]",naive,1
24,snack6,"[7,10]",sophisticated,9
25,snack9,"[8,5]",naive,-22
25,snack9,"[8,5]",sophisticated,-10
26,snack6,"[8,13]",naive,-6
26,snack6,"[8,13]",sophisticated,-1
27,snack6,"[7,9]",naive,7
27,snack6,"[7,9]",sophisticated,-10
