trial,grid,crumb,agent_type,response
1,snack10,"[6,3]",naive,-50
1,snack10,"[6,3]",sophisticated,-50
2,snack7,"[6,3]",naive,-49
2,snack7,"[6,3]",sophisticated,-49
3,snack3,"[3,9]",naive,-40
3,snack3,"[3,9]",sophisticated,-38
4,snack7,"[3,4]",naive,-48
4,snack7,"[3,4]",sophisticated,-47
5,snack8,"[10,3]",naive,-27
5,snack8,"[10,3]",sophisticated,-22
6,snack8,"[10,2]",naive,-33
6,snack8,"[10,2]",sophisticated,-26
7,snack1,"[4,9]",naive,-32
7,snack1,"[4,9]",sophisticated,-31
8,snack8,"[8,5]",naive,-10
8,snack8,"[8,5]",sophisticated,-6
9,snack10,"[5,3]",naive,-47
9,snack10,"[5,3]",sophisticated,-45
10,snack2,"[13,3]",naive,49
10,snack2,"[13,3]",sophisticated,48
11,snack2,"[13,4]",naive,48
11,snack2,"[13,4]",sophisticated,47
12,snack5,"[10,4]",naive,22
12,snack5,"[10,4]",sophisticated,18
13,snack1,"[10,10]",naive,50
13,snack1,"[10,10]",sophisticated,50
14,snack9,"[8,10]",naive,38
14,snack9,"[8,10]",sophisticated,37
15,snack10,"[6,11]",naive,46
15,snack10,"[6,11]",sophisticated,44
16,snack3,"[10,9]",naive,23
16,snack3,"[10,9]",sophisticated,21
17,snack3,"[11,9]",naive,39
17,snack3,"[11,9]",sophisticated,37
18,snack1,"[6,11]",naive,22
18,snack1,"[6,11]",sophisticated,16
19,snack2,"[5,4]",naive,-4
19,snack2,"[5,4]",sophisticated,-7
20,snack7,"[3,10]",naive,-1
20,snack7,"[3,10]",sophisticated,0
21,snack9,"[12,4]",naive,-13
21,snack9,"[12,4]",sophisticated,-12
22,snack5,"[8,4]",naive,-2
22,snack5,"[8,4]",sophisticated,-3
23,snack5,"[8,5]",naive,8
23,snack5,"[8,5]",sophisticated,5
24,snack6,"[7,10]",naive,2
24,snack6,"[7,10]",sophisticated,1
25,snack9,"[8,5]",naive,-19
25,snack9,"[8,5]",sophisticated,-19
26,snack6,"[8,13]",naive,-5
26,snack6,"[8,13]",sophisticated,-5
27,snack6,"[7,9]",naive,5
27,snack6,"[7,9]",sophisticated,3
