trial,agent,agent_type,path,is_return
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 4), (10, 5), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (9, 6), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (10, 4), (10, 5), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (9, 6), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (10, 4), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (10, 4), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (9, 6), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 4), (11, 4), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (9, 6), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (10, 5), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (11, 4), (11, 3), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (9, 6), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (9, 6), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (10, 4), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (9, 6), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (9, 6), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (11, 4), (10, 4), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (10, 4), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (9, 6), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (10, 4), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (9, 6), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (9, 6), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (10, 5), (10, 4), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (9, 6), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (10, 5), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (9, 6), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (9, 6), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (9, 6), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (9, 6), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (11, 4), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (10, 5), (10, 4), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (9, 6), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (10, 5), (10, 4), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (9, 6), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (10, 5), (10, 4), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 4), (10, 5), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (10, 4), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (9, 6), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (9, 6), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (10, 5), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (9, 5), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 4), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (10, 4), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (9, 6), (8, 6), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (10, 4), (10, 5), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (10, 4), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (11, 4), (10, 4), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (10, 7), (10, 6), (10, 5), (10, 4), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (11, 5), (10, 5), (10, 4), (9, 4), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (9, 6), (9, 7), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (9, 5), (8, 5), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (9, 4), (9, 5), (10, 5), (10, 6), (10, 7), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (9, 6), (9, 5), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,A,naive,"[(5, 3), (6, 3), (7, 3), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7)]",False
snack8,A,naive,"[(11, 7), (11, 6), (10, 6), (10, 5), (10, 4), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (10, 10), (10, 9), (11, 9), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (9, 8), (9, 9), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (9, 9), (10, 9), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (10, 8), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (11, 9), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (9, 7), (9, 8), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (9, 8), (9, 7), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (9, 9), (10, 9), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (10, 8), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (8, 8), (9, 8), (9, 7), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (9, 8), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (10, 8), (10, 9), (9, 9), (9, 10), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (9, 9), (9, 8), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (9, 7), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (9, 9), (10, 9), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (9, 10), (10, 10), (10, 9), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (11, 9), (11, 10), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (10, 9), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (10, 8), (9, 8), (8, 8), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (8, 8), (9, 8), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (9, 9), (9, 8), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (9, 8), (8, 8), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (10, 9), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (11, 9), (10, 9), (10, 10), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (9, 9), (10, 9), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (9, 7), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (8, 8), (9, 8), (9, 7), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (10, 8), (10, 9), (10, 10), (9, 10), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (9, 9), (9, 8), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (11, 8), (10, 8), (10, 9), (9, 9), (9, 10), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (9, 9), (10, 9), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (9, 7), (9, 8), (8, 8), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (10, 9), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (10, 9), (10, 10), (9, 10), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (8, 8), (9, 8), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (10, 9), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (9, 9), (9, 8), (10, 8), (10, 7), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (9, 8), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
snack8,B,naive,"[(5, 11), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (8, 8), (9, 8), (10, 8), (11, 8), (11, 7)]",False
snack8,B,naive,"[(11, 7), (10, 7), (10, 8), (9, 8), (9, 9), (8, 9), (8, 10), (8, 11), (7, 11), (6, 11), (5, 11)]",True
